phase,id,type,status,learning_target,source_location,correct_concept,answer_position,feedback,role,content_version
4,phase4-q12,checkpoint,revised,Timing serves a learning purpose. It does not provide a neurological guarantee or a universal pace rule.,original-course/main.js: QUIZZES[3].questions/phase4-q12,"Choose timing for the purpose: slow a walkthrough to examine it, then use relevant task timing where useful.",A,Timing serves a learning purpose. It does not provide a neurological guarantee or a universal pace rule.,required formative practice,phase4-2026-09-17-r1
4,p4-task-confidence-check-1,lesson check,newly authored,"I can distinguish task confidence, self-efficacy and certainty about an outcome.",original PHASE_CONTENT phase-4 sections 3,I believe I can use the practised count for this entry.,C,The statement concerns an ability to carry out a particular action. It does not guarantee the outside decision.,required formative practice,phase4-2026-09-17-r1
4,p4-task-confidence-check-2,lesson check,newly authored,"I can distinguish task confidence, self-efficacy and certainty about an outcome.",original PHASE_CONTENT phase-4 sections 3,Use the prepared cue and clarify the starting arrangement.,A,Prepared skills and remaining uncertainty can exist together. Clarifying the arrangement addresses the gap while retaining useful preparation.,required formative practice,phase4-2026-09-17-r1
4,p4-task-confidence-response,lesson application,newly authored / source concepts retained,"I can distinguish task confidence, self-efficacy and certainty about an outcome.",original PHASE_CONTENT phase-4 sections 3,State the specific task.; Connect two pieces of preparation evidence to it.; Identify one uncertainty without turning it into a global judgment.,not applicable,State the specific task.; Connect two pieces of preparation evidence to it.; Identify one uncertainty without turning it into a global judgment.,required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-preparation-evidence-check-1,lesson check,newly authored,I can explain two sources of confidence and what each can and cannot establish.,original PHASE_CONTENT phase-4 sections 4,A model the learner can study and try.,B,"The demonstration supplies information. The learner still needs an opportunity to understand, try and review the sequence.",required formative practice,phase4-2026-09-17-r1
4,p4-preparation-evidence-check-2,lesson check,newly authored,I can explain two sources of confidence and what each can and cannot establish.,original PHASE_CONTENT phase-4 sections 4,Your entry was late; practise the agreed count before beginning.,C,Specific feedback links an observation to an action. It can support preparation without making a claim about the whole person.,required formative practice,phase4-2026-09-17-r1
4,p4-preparation-evidence-response,lesson application,newly authored / source concepts retained,I can explain two sources of confidence and what each can and cannot establish.,original PHASE_CONTENT phase-4 sections 4,Name two different sources.; Link each to a particular part of the task.; Explain the limit of each source and a useful next question.,not applicable,Name two different sources.; Link each to a particular part of the task.; Explain the limit of each source and a useful next question.,required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-useful-evidence-check-1,lesson check,newly authored,"I can distinguish effort, success and progress in a preparation record.",original PHASE_CONTENT phase-4 sections 5,The entry became more consistent across several rehearsals.,A,Progress requires a comparison across time. Attendance describes an action; a broad affirmation does not identify a change.,required formative practice,phase4-2026-09-17-r1
4,p4-useful-evidence-check-2,lesson check,newly authored,"I can distinguish effort, success and progress in a preparation record.",original PHASE_CONTENT phase-4 sections 5,As a game variable illustrating an analogy.,B,"The account is a metaphor. A programmed balance does not measure confidence, identity or emotional control.",required formative practice,phase4-2026-09-17-r1
4,p4-useful-evidence-response,lesson application,newly authored / source concepts retained,"I can distinguish effort, success and progress in a preparation record.",original PHASE_CONTENT phase-4 sections 5,"Separate effort, success and change over time.; Use specific case evidence.; State what the record supports without promising a result.",not applicable,"Separate effort, success and change over time.; Use specific case evidence.; State what the record supports without promising a result.",required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-feedback-setbacks-check-1,lesson check,newly authored,"I can separate an observation, useful feedback and a global judgment.","original PHASE_CONTENT phase-4 sections 6,11",Your entry was late; use the agreed starting count.,C,The statement identifies a task feature and a possible adjustment. It does not judge the whole person.,required formative practice,phase4-2026-09-17-r1
4,p4-feedback-setbacks-check-2,lesson check,newly authored,"I can separate an observation, useful feedback and a global judgment.","original PHASE_CONTENT phase-4 sections 6,11",Some feedback contains useful information that supports learning.,A,Protecting personal worth should not remove useful corrections. Evaluate the information and seek support for harmful comments.,required formative practice,phase4-2026-09-17-r1
4,p4-feedback-setbacks-response,lesson application,newly authored / source concepts retained,"I can separate an observation, useful feedback and a global judgment.","original PHASE_CONTENT phase-4 sections 6,11","Identify the observation, correction and global judgment.; Retain relevant feedback without denying the error.; Name a useful action or support request.",not applicable,"Identify the observation, correction and global judgment.; Retain relevant feedback without denying the error.; Name a useful action or support request.",required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-cba-routine-check-1,lesson check,newly authored,I can explain a brief C-B-A routine and adapt it to the setting.,original PHASE_CONTENT phase-4 sections 7,I have practised the entry and can use the agreed count.,A,The statement connects preparation to a practical action without promising the result.,required formative practice,phase4-2026-09-17-r1
4,p4-cba-routine-check-2,lesson check,newly authored,I can explain a brief C-B-A routine and adapt it to the setting.,original PHASE_CONTENT phase-4 sections 7,"Clarify the starting cue, then adapt the routine.",B,A routine cannot supply information that has not been given. Clarification addresses the actual need.,required formative practice,phase4-2026-09-17-r1
4,p4-cba-routine-response,lesson application,newly authored / source concepts retained,I can explain a brief C-B-A routine and adapt it to the setting.,original PHASE_CONTENT phase-4 sections 7,"Make C believable and evidence-based.; Describe B as optional, comfortable and appropriate to a safe pause.; Explain the task information selected in A and the next action.",not applicable,"Make C believable and evidence-based.; Describe B as optional, comfortable and appropriate to a safe pause.; Explain the task information selected in A and the next action.",required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-rehearsal-formats-check-1,lesson check,newly authored,I can justify a rehearsal format and perspective without treating one as compulsory.,"original PHASE_CONTENT phase-4 sections 8,9","Use a written, spoken or storyboard sequence with the same planning decisions.",C,The task assesses preparation and reasoning. Another representation can demonstrate those decisions without requiring a private imagery experience.,required formative practice,phase4-2026-09-17-r1
4,p4-rehearsal-formats-check-2,lesson check,newly authored,I can justify a rehearsal format and perspective without treating one as compulsory.,"original PHASE_CONTENT phase-4 sections 8,9",According to the task and the purpose of the rehearsal.,A,Different perspectives can highlight different information. The learner should justify the choice for the stated purpose.,required formative practice,phase4-2026-09-17-r1
4,p4-rehearsal-formats-response,lesson application,newly authored / source concepts retained,I can justify a rehearsal format and perspective without treating one as compulsory.,"original PHASE_CONTENT phase-4 sections 8,9","Name the format and purpose.; Explain the relevant cues, perspective or sequence.; State what the rehearsal can and cannot demonstrate.",not applicable,"Name the format and purpose.; Explain the relevant cues, perspective or sequence.; State what the rehearsal can and cannot demonstrate.",required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-disruption-rehearsal-check-1,lesson check,newly authored,I can rehearse a disruption and adapt when the first response does not help.,"original PHASE_CONTENT phase-4 sections 9,10",Prepare a practical response to a likely disruption.,B,"It is a coping-rehearsal metaphor. The useful outcome is a response and return point, not certainty or a required emotional experience.",required formative practice,phase4-2026-09-17-r1
4,p4-disruption-rehearsal-check-2,lesson check,newly authored,I can rehearse a disruption and adapt when the first response does not help.,"original PHASE_CONTENT phase-4 sections 9,10",Use a written or spoken sequence and check the cues again.,C,Changing the representation can preserve the preparation purpose. The learner can explain the sequence without forcing an unhelpful image.,required formative practice,phase4-2026-09-17-r1
4,p4-disruption-rehearsal-response,lesson application,newly authored / source concepts retained,I can rehearse a disruption and adapt when the first response does not help.,"original PHASE_CONTENT phase-4 sections 9,10","Name a plausible interruption and its signal.; Give the response, return cue and relevant timing.; Add a second option and label the rehearsal as hypothetical when appropriate.",not applicable,"Name a plausible interruption and its signal.; Give the response, return cue and relevant timing.; Add a second option and label the rehearsal as hypothetical when appropriate.",required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-combine-toolkit-check-1,lesson check,newly authored,I can build a coherent toolkit and adapt it when the task changes.,"original PHASE_CONTENT phase-4 sections 10,12","The evidence, routine and recovery response serve the same task.",A,The parts should support the same demand. A long list of techniques or a claim about feelings does not establish that connection.,required formative practice,phase4-2026-09-17-r1
4,p4-combine-toolkit-check-2,lesson check,newly authored,I can build a coherent toolkit and adapt it when the task changes.,"original PHASE_CONTENT phase-4 sections 10,12","New shared cues, timing and a response if the partner’s cue is missed.",B,The changed task adds coordination demands. Preserve useful preparation while adapting the cues and recovery plan to those demands.,required formative practice,phase4-2026-09-17-r1
4,p4-combine-toolkit-response,lesson application,newly authored / source concepts retained,I can build a coherent toolkit and adapt it when the task changes.,"original PHASE_CONTENT phase-4 sections 10,12","Use one consistent task.; Link evidence, routine and rehearsal decisions.; Name an observation for review and one limitation.",not applicable,"Use one consistent task.; Link evidence, routine and rehearsal decisions.; Name an observation for review and one limitation.",required written application; reusable in Build,phase4-2026-09-17-r1
4,p4-written-review-1,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",task-confidence corrected teaching; see source map,"Task confidence can be grounded in evidence of preparation and an action the performer can carry out. Certainty claims the outcome is settled. A prepared performer can act while still uncertain about judging, opponents or conditions.",not applicable,"Task confidence can be grounded in evidence of preparation and an action the performer can carry out. Certainty claims the outcome is settled. A prepared performer can act while still uncertain about judging, opponents or conditions.",required first answer/comparison/revision,phase4-2026-09-17-r1
4,p4-written-review-2,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",feedback-setbacks corrected teaching; see source map,Keep the accurate observation and task-based correction. Do not turn one error into a whole-person judgment or deny the error to protect confidence. Clarify advice when needed and seek support for disrespectful treatment.,not applicable,Keep the accurate observation and task-based correction. Do not turn one error into a whole-person judgment or deny the error to protect confidence. Clarify advice when needed and seek support for disrespectful treatment.,required first answer/comparison/revision,phase4-2026-09-17-r1
4,p4-written-review-3,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",rehearsal-formats corrected teaching; see source map,"Choose the representation and perspective for a purpose. A written, spoken, storyboard or walkthrough format can demonstrate planning. Rehearsal and actual performance provide different evidence; this course does not claim neurological equivalence or measured tissue change per repetition.",not applicable,"Choose the representation and perspective for a purpose. A written, spoken, storyboard or walkthrough format can demonstrate planning. Rehearsal and actual performance provide different evidence; this course does not claim neurological equivalence or measured tissue change per repetition.",required first answer/comparison/revision,phase4-2026-09-17-r1
4,p4-written-review-4,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",combine-toolkit corrected teaching; see source map,"A useful revision may replace a guarantee with preparation evidence, preserve a specific correction, shorten a routine or change a rehearsal format. Explain the task-based reason and identify what remains uncertain.",not applicable,"A useful revision may replace a guarantee with preparation evidence, preserve a specific correction, shorten a routine or change a rehearsal format. Explain the task-based reason and identify what remains uncertain.",required first answer/comparison/revision,phase4-2026-09-17-r1
4,p4-decision-case-1,guided and untimed equivalent,newly authored,Ready for one part,corrected phase teaching and specification lab cases,"Use the entry evidence, clarify the starting arrangement and accept uncertainty about selection.",A,Evidence can support a particular action without settling the outcome. Clarification addresses what can be learned; uncertainty does not erase preparation.,choose guided or untimed set; reasons required,phase4-2026-09-17-r1
4,p4-decision-case-2,guided and untimed equivalent,newly authored,A useful correction,corrected phase teaching and specification lab cases,"Keep the task-based correction, reject the global judgment and seek respectful support if needed.",B,An accurate observation and correction can help. The personal attack does not supply additional task guidance. Keeping useful feedback is different from accepting harmful judgments.,choose guided or untimed set; reasons required,phase4-2026-09-17-r1
4,p4-decision-case-3,guided and untimed equivalent,newly authored,No clear mental picture,corrected phase teaching and specification lab cases,"Use a spoken or written walkthrough, including a likely interruption and return cue.",C,The intended evidence is a coherent preparation and recovery plan. Another representation can show those decisions without requiring vivid imagery.,choose guided or untimed set; reasons required,phase4-2026-09-17-r1
4,p4-case,Build evidence,newly authored transfer/case evidence,"Task, preparation and uncertainty","supplied generation specification, Build plan","Describe the task, two preparation facts and one uncertainty.",not applicable,"Worked example: Taylor has practised the entry and improved the count, but the selection decision and new room remain uncertain. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-evidence,Build evidence,combined / reworded,"Effort, success and progress",p4a_tt-1; p4a_tt-2; p4a_tt-3; p4a_tt-4; p4a_tt-5; p4a_tt-6; p4a_tt-7; p4a_tt-8; p4a_tt-9; p4a_tt-10; p4a_esp_effort; p4a_esp_success; p4a_esp_progress,Develop one specific example in each category from the case. Explain the distinction.,not applicable,Worked example: Effort: worked on the count. Success: completed the opening accurately. Progress: entries became more consistent across rehearsals. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-sources,Build evidence,combined / reworded,Two sources and their limits,p4a_src_mastery; p4a_src_modeling; p4a_src_persuasion; p4a_src_imaginal; p4a_src_preparation; p4a_src_arousal,Choose two sources of confidence. Explain what each supports and cannot prove.,not applicable,Worked example: The teacher’s model clarifies timing; Taylor’s practice provides direct evidence for the entry. Neither proves selection. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-feedback,Build evidence,combined / reworded,"Error, feedback and global judgment",p4a_setback; p4a_lockdown; p4a_after_action,"Separate an observed error, useful correction and whole-person judgment. State the action to keep.",not applicable,Worked example: A late entry is an observation; using the count is a correction; “not a performer” is a global judgment. Keep the count correction. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-belief,Build evidence,combined / reworded,A believable statement,p4a_arousal_reframe; p4a_belief,Write a short evidence-based statement that leads to action without a guarantee.,not applicable,Worked example: I have practised the entry. I will use the agreed count and attend to the starting cue. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-routine,Build evidence,combined / reworded,C-B-A in context,p4a_cue; p4a_breath_plan; p4a_attach; p4a_routine_context,"Explain C, an optional comfortable B during a suitable pause, and task-appropriate A.",not applicable,Worked example: C: use the prepared count. B: a familiar comfortable pause if useful. A: listen for the agreed entry cue and begin. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-format,Build evidence,combined / reworded,Representation and perspective,p4b_sanctuary_desc; p4b_tool_name; p4b_tool_manipulation; p4b_perspective; p4b_gopro; p4b_directors_cut,"Choose imagery, writing, speaking, storyboard or walkthrough. Explain why it serves the task.",not applicable,Worked example: A spoken count with a written sequence makes Taylor’s entry clearer than detailed imagery. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-sequence,Build evidence,combined / reworded,"Sequence, cues and timing",p4b_script_va; p4b_script_k; p4b_script_e; p4b_timing_plan; p4b_realtime; p4b_master_script,Write the rehearsal sequence and explain its timing. A slowed walkthrough is acceptable when purposeful.,not applicable,"Worked example: Walk through the changed start slowly to check the cue, then rehearse the count at the relevant musical timing. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-disruption,Build evidence,combined / reworded,A likely interruption,p4b_ft_crisis,Describe a plausible interruption and how it would be noticed.,not applicable,Worked example: The usual accompaniment is unavailable before Taylor’s turn. The starting cue may therefore change. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-recovery,Build evidence,combined / reworded,Adjustment and restart,p4b_ft_reset; p4b_control_check,"Explain the first response, return cue and second option. Change representation if useful.",not applicable,"Worked example: Confirm the alternative cue, use the agreed count and begin. If the cue is still unclear, ask for an agreed restart. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-review,Build evidence,combined / reworded,"Observation, adjustment and limitation",p4a_daily_plan; p4a_narr; p4b_narrative,"State an observation to check, a possible adjustment and a limitation of the plan.",not applicable,Worked example: Check whether Taylor identifies the new cue and starts at the agreed point. Clarify the cue if needed. Selection still cannot be guaranteed. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-transfer,Build evidence,newly authored transfer/case evidence,A changed task,"supplied generation specification, Build plan",New case: a familiar solo presentation becomes a partner presentation without slides. Explain what you would keep and change.,not applicable,"Worked example: Keep preparation evidence and a believable cue. Use a printed outline, agree partner cues and rehearse a missed handover. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase4-2026-09-17-r1
4,p4-opening,opening / transfer,newly authored,Identify two pieces of preparation evidence in Taylor’s case and one uncertainty. What could Taylor do next without pretending the result is guaranteed?,supplied phase specification and corrected local teaching,"Identify the case evidence, a fitting choice, its reason and a relevant limitation or adjustment.",not applicable,Compare with the local worked cases and rubric; text is not automatically graded.,opening required; choose guided or untimed transfer,phase4-2026-09-17-r1
4,guided-transfer,opening / transfer,newly authored,"Choose a different sport, artistic or academic task. Identify preparation evidence, a suitable rehearsal format and a response to one new interruption. State what your plan cannot guarantee.",supplied phase specification and corrected local teaching,"Identify the case evidence, a fitting choice, its reason and a relevant limitation or adjustment.",not applicable,Compare with the local worked cases and rubric; text is not automatically graded.,opening required; choose guided or untimed transfer,phase4-2026-09-17-r1
4,untimed-transfer,opening / transfer,newly authored,"Choose a different sport, artistic or academic task. Identify preparation evidence, a suitable rehearsal format and a response to one new interruption. State what your plan cannot guarantee.",supplied phase specification and corrected local teaching,"Identify the case evidence, a fitting choice, its reason and a relevant limitation or adjustment.",not applicable,Compare with the local worked cases and rubric; text is not automatically graded.,opening required; choose guided or untimed transfer,phase4-2026-09-17-r1
