phase,original_module,original_field_id,original_prompt,original_placeholder,original_options,new_evidence_field_id,disposition,reason,source_location
4,phase4a,p4a_src_modeling,Vicarious experiences / modeling,Whose example shows you what is possible and how it can be done?,[],p4-sources,combined,"Choose and justify two relevant sources and their limits; all six source concepts remain taught, without six repeated response boxes.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_src_modeling
4,phase4a,p4a_src_persuasion,Verbal persuasion,What persuasive coaching or self-talk actually helps belief hold up?,[],p4-sources,combined,"Choose and justify two relevant sources and their limits; all six source concepts remain taught, without six repeated response boxes.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_src_persuasion
4,phase4a,p4a_src_imaginal,Imaginal experiences,How does imagery help you rehearse certainty before pressure arrives?,[],p4-sources,combined,"Choose and justify two relevant sources and their limits; all six source concepts remain taught, without six repeated response boxes.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_src_imaginal
4,phase4a,p4a_src_preparation,Preparation / self-regulation,"Which routines, preparation habits, or self-regulation practices make you trust yourself more?",[],p4-sources,combined,"Choose and justify two relevant sources and their limits; all six source concepts remain taught, without six repeated response boxes.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_src_preparation
4,phase4a,p4a_src_arousal,Meaning assigned to arousal,"When your body activates, what meaning helps you read it as readiness instead of danger?",[],p4-sources,combined,"Choose and justify two relevant sources and their limits; all six source concepts remain taught, without six repeated response boxes.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_src_arousal
4,phase4a,p4a_setback,"Recent withdrawal or confidence threat

Name the event, mistake, evaluation, or fear that usually drains confidence fastest.",Describe the withdrawal pattern that normally costs you the most belief.,[],p4-feedback,combined,Retain the observed error and useful correction while rejecting global identity attacks; not all criticism is a withdrawal.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_setback
4,phase4a,p4a_lockdown,"Mental filter rewrite

Rewrite the event so it becomes temporary / limited / nonrepresentative.","Show how you would interpret the event as temporary, limited, and nonrepresentative.",[],p4-feedback,combined,Retain the observed error and useful correction while rejecting global identity attacks; not all criticism is a withdrawal.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_lockdown
4,phase4a,p4a_after_action,"What? So what? Now what?

Use the review sequence that keeps the event factual and forward-moving.",What happened? So what did it mean? Now what will I do next?,[],p4-feedback,combined,Retain the observed error and useful correction while rejecting global identity attacks; not all criticism is a withdrawal.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_after_action
4,phase4a,p4a_arousal_reframe,"Butterflies as fuel / arousal reframe

How will you interpret bodily activation as mobilized readiness rather than danger?","Write the meaning you want attached to butterflies, elevated heart rate, or competitive energy.",[],p4-belief,combined,Use a believable evidence-based statement; no requirement to report certainty or reinterpret every uncomfortable signal as readiness.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_arousal_reframe
4,phase4a,p4a_cue,"Cue conviction

What short cue triggers certainty fast enough to use under pressure?","Example: trust, commit, attack, smooth, compete.",[],p4-routine,combined,"Combine cue, comfortable familiar breathing if useful, task attention and context in one C-B-A sequence; no guaranteed state change.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_cue
4,phase4a,p4a_belief,"Believable self-statement

Why does the cue feel believable rather than fake?",Write the short conviction statement that supports the cue with evidence.,[],p4-belief,combined,Use a believable evidence-based statement; no requirement to report certainty or reinterpret every uncomfortable signal as readiness.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_belief
4,phase4a,p4a_breath_plan,"Practiced breath plan

How will you breathe the body so arousal settles into usable energy?",Describe the exact breath you will practice until it feels automatic.,[],p4-routine,combined,"Combine cue, comfortable familiar breathing if useful, task attention and context in one C-B-A sequence; no guaranteed state change.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_breath_plan
4,phase4a,p4a_attach,"External attentional attachment

What external target, cue, or first action reattaches attention to execution?",Name the external target or first controllable action.,[],p4-routine,combined,"Combine cue, comfortable familiar breathing if useful, task attention and context in one C-B-A sequence; no guaranteed state change.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_attach
4,phase4a,p4a_routine_context,"When and where the routine gets used

When will the C-B-A bridge get triggered in real performance?","Describe the exact moments, transitions, or pressure points where you will use the routine.",[],p4-routine,combined,"Combine cue, comfortable familiar breathing if useful, task attention and context in one C-B-A sequence; no guaranteed state change.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_routine_context
4,phase4a,p4a_narr,"Understanding narrative

Explain how confidence is built through evidence, protected correctly, and expressed through a believable C-B-A routine.","Show how the sources, deposits, mental filter, and C-B-A bridge create a durable confidence system.",[],p4-review,combined,"Consolidate daily review and final narratives into evidence, an adjustment and a limitation.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_narr
4,phase4b,p4b_sanctuary_desc,"Mental starting place

Describe where the rehearsal begins before the action starts.",Describe the controlled mental place where the internal film opens.,[],p4-format,combined,"Allow imagery, written/spoken sequence, storyboard or walkthrough and a purpose-based perspective; vivid imagery is not an assessment prerequisite.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_sanctuary_desc
4,phase4b,p4b_tool_name,"Tool or object

What piece of equipment, object, or contact point starts the rehearsal?","Name the tool, object, or surface that grounds the scene.",[],p4-format,combined,"Allow imagery, written/spoken sequence, storyboard or walkthrough and a purpose-based perspective; vivid imagery is not an assessment prerequisite.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_tool_name
4,phase4b,p4b_tool_manipulation,"Weight, texture, and familiar movement

Describe how the prop feels when you handle it.","Describe the weight, texture, grip, and familiar movement that make the prop check feel physically real.",[],p4-format,combined,"Allow imagery, written/spoken sequence, storyboard or walkthrough and a purpose-based perspective; vivid imagery is not an assessment prerequisite.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_tool_manipulation
4,phase4b,p4b_script_va,"Visual / auditory detail

What do you see and hear when the performance is unfolding well?",Describe the scene visually and sonically so the film feels vivid and specific.,[],p4-sequence,combined,Combine multisensory scripts and timing into a coherent rehearsal in the chosen representation; no neurological equivalence or myelin guarantee.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_script_va
4,phase4b,p4b_script_k,"Kinesthetic detail

What does the body feel as you move through execution?","Describe body position, tempo, pressure, breath, balance, and movement quality.",[],p4-sequence,combined,Combine multisensory scripts and timing into a coherent rehearsal in the chosen representation; no neurological equivalence or myelin guarantee.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_script_k
4,phase4b,p4b_script_e,"Emotional tone

What feeling should be active in the scene?",Describe the emotional tone you want active during the mental cinema.,[],p4-sequence,combined,Combine multisensory scripts and timing into a coherent rehearsal in the chosen representation; no neurological equivalence or myelin guarantee.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_script_e
4,phase4b,p4b_perspective,"Perspective choice

Will you run the scene as internal / first person or external / third person, and why?",Name the perspective choice and why it teaches the right thing for this task.,[],p4-format,combined,"Allow imagery, written/spoken sequence, storyboard or walkthrough and a purpose-based perspective; vivid imagery is not an assessment prerequisite.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_perspective
4,phase4b,p4b_timing_plan,"Timing match

How will you keep the image tied to the timing of the actual task?","Describe whether you rehearse in real time, slow time for learning, or both.",[],p4-sequence,combined,Combine multisensory scripts and timing into a coherent rehearsal in the chosen representation; no neurological equivalence or myelin guarantee.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_timing_plan
4,phase4b,p4b_gopro,"GoPro perspective

How will you use a first-person GoPro angle to feel the movement from inside the action?",Describe the GoPro perspective and what it teaches you that another angle misses.,[],p4-format,combined,"Allow imagery, written/spoken sequence, storyboard or walkthrough and a purpose-based perspective; vivid imagery is not an assessment prerequisite.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_gopro
4,phase4b,p4b_directors_cut,"Director's cut / rewind / overwrite

What do you do when the wrong image or wrong outcome appears in the film?","Describe how you cut the image, rewind, and overwrite it with the version you actually want to rehearse.",[],p4-format,combined,"Allow imagery, written/spoken sequence, storyboard or walkthrough and a purpose-based perspective; vivid imagery is not an assessment prerequisite.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_directors_cut
4,phase4b,p4b_ft_crisis,"Flat tire drill: predictable disruption

What failure, glitch, or interruption needs to be built into the film?","Describe the realistic disruption you need to rehearse, not avoid.",[],p4-disruption,combined,"Combine related prompts into one structured evidence field, preserving the underlying decision and explanation while removing redundant retyping.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_ft_crisis
4,phase4b,p4b_ft_reset,"Flat tire drill: dominant recovery

How do you recover and continue the sequence without losing the whole performance?",Describe the dominant recovery you want the film to rehearse until it feels automatic.,[],p4-recovery,combined,Retain coping response and flexibility; unhelpful imagery can be replaced by another representation.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_ft_reset
4,phase4b,p4b_realtime,"Real-time rehearsal

How will you run the full film at the speed of the actual performance?",Describe how and when you will rehearse the sequence in real time.,[],p4-sequence,combined,Combine multisensory scripts and timing into a coherent rehearsal in the chosen representation; no neurological equivalence or myelin guarantee.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_realtime
4,phase4b,p4b_control_check,"Controllability check

How will you know the film stays controlled instead of turning into random fantasy or panic imagery?","Describe the signs that the imagery stays controllable, useful, and tied to the actual task.",[],p4-recovery,combined,Retain coping response and flexibility; unhelpful imagery can be replaced by another representation.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_control_check
4,phase4b,p4b_master_script,"Full envisioning script

Combine the mental starting place, prop check, mental cinema, and toolkit into one full rehearsal script.",Write the full imagery script from opening frame to execution to disruption to recovery.,[],p4-sequence,combined,Combine multisensory scripts and timing into a coherent rehearsal in the chosen representation; no neurological equivalence or myelin guarantee.,original-course/assignment-runtime-main.js; rendered phase4b control #p4b_master_script
4,phase4b,p4b_narrative,"Understanding narrative

Explain how the imagery system supports vividness, control, timing, perspective, and recovery usefulness.","Show how the prop check, mental cinema, and director's toolkit turn imagery into a usable performance tool.",[],p4-review,combined,"Consolidate daily review and final narratives into evidence, an adjustment and a limitation.",original-course/assignment-runtime-main.js; rendered phase4b control #p4b_narrative
