id,chapter,title,image,letter,answer,accepted_answers,notes
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,D,Uncatalyzed reaction pathway,uncatalyzed pathway | uncatalyzed reaction | higher activation energy pathway,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,E,Catalyzed reaction pathway,catalyzed pathway | catalyzed reaction | lower activation energy pathway,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,F,Activation energy without a catalyst,uncatalyzed activation energy | activation energy without catalyst | higher activation energy,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,G,Activation energy with a catalyst,catalyzed activation energy | activation energy with catalyst | lower activation energy,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,H,Products,products | product energy level,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
ch11-collision-theory,11,Collision Theory,chapter_11/ch11_collision_theory.png,A,Reactant particle / molecule 1,reactant molecule 1 | reactant particle 1 | reactant,Use this to reinforce that successful reactions require effective collisions with sufficient energy and appropriate orientation.
ch11-collision-theory,11,Collision Theory,chapter_11/ch11_collision_theory.png,B,Reactant particle / molecule 2,reactant molecule 2 | reactant particle 2 | reactant,Use this to reinforce that successful reactions require effective collisions with sufficient energy and appropriate orientation.
ch11-collision-theory,11,Collision Theory,chapter_11/ch11_collision_theory.png,C,Direction of particle motion,direction of motion | motion arrow | approach direction,Use this to reinforce that successful reactions require effective collisions with sufficient energy and appropriate orientation.
ch11-collision-theory,11,Collision Theory,chapter_11/ch11_collision_theory.png,D,Collision,collision | collision point | particle collision,Use this to reinforce that successful reactions require effective collisions with sufficient energy and appropriate orientation.
ch11-collision-theory,11,Collision Theory,chapter_11/ch11_collision_theory.png,E,Product particle / molecule,product | product molecule | products,Use this to reinforce that successful reactions require effective collisions with sufficient energy and appropriate orientation.
ch11-collision-theory,11,Collision Theory,chapter_11/ch11_collision_theory.png,F,Effective collision,effective collision | successful collision,Use this to reinforce that successful reactions require effective collisions with sufficient energy and appropriate orientation.
ch11-collision-theory,11,Collision Theory,chapter_11/ch11_collision_theory.png,G,Ineffective collision,ineffective collision | unsuccessful collision,Use this to reinforce that successful reactions require effective collisions with sufficient energy and appropriate orientation.
ch12-electron-transfer,12,Electron Transfer and Ion Formation,chapter_12/ch12_electron_transfer_ion_formation.png,A,Sodium atom,sodium atom | Na atom | Na,Sodium loses an electron and is oxidized; chlorine gains an electron and is reduced.
ch12-electron-transfer,12,Electron Transfer and Ion Formation,chapter_12/ch12_electron_transfer_ion_formation.png,B,Chlorine atom,chlorine atom | Cl atom | Cl,Sodium loses an electron and is oxidized; chlorine gains an electron and is reduced.
ch12-electron-transfer,12,Electron Transfer and Ion Formation,chapter_12/ch12_electron_transfer_ion_formation.png,C,Transferred electron,transferred electron | electron transfer | electron,Sodium loses an electron and is oxidized; chlorine gains an electron and is reduced.
ch12-electron-transfer,12,Electron Transfer and Ion Formation,chapter_12/ch12_electron_transfer_ion_formation.png,D,Sodium ion (Na⁺),sodium ion | Na+ | Na⁺ | cation,Sodium loses an electron and is oxidized; chlorine gains an electron and is reduced.
ch12-electron-transfer,12,Electron Transfer and Ion Formation,chapter_12/ch12_electron_transfer_ion_formation.png,E,Chloride ion (Cl⁻),chloride ion | Cl- | Cl⁻ | anion,Sodium loses an electron and is oxidized; chlorine gains an electron and is reduced.
ch12-electron-transfer,12,Electron Transfer and Ion Formation,chapter_12/ch12_electron_transfer_ion_formation.png,F,Valence electron,valence electron | outer-shell electron,Sodium loses an electron and is oxidized; chlorine gains an electron and is reduced.
ch12-oxidation-numbers-water,12,Oxidation Numbers in Water,chapter_12/ch12_oxidation_numbers_water.png,A,Oxygen atom,oxygen | oxygen atom | O,"In ordinary H2O, oxygen is assigned −2 and each hydrogen is assigned +1."
ch12-oxidation-numbers-water,12,Oxidation Numbers in Water,chapter_12/ch12_oxidation_numbers_water.png,B,Hydrogen atom,hydrogen | hydrogen atom | H,"In ordinary H2O, oxygen is assigned −2 and each hydrogen is assigned +1."
ch12-oxidation-numbers-water,12,Oxidation Numbers in Water,chapter_12/ch12_oxidation_numbers_water.png,C,O–H covalent bond,O-H bond | O–H bond | covalent bond | bond,"In ordinary H2O, oxygen is assigned −2 and each hydrogen is assigned +1."
ch12-oxidation-numbers-water,12,Oxidation Numbers in Water,chapter_12/ch12_oxidation_numbers_water.png,D,Oxygen oxidation number = −2,-2 | −2 | oxygen oxidation number -2,"In ordinary H2O, oxygen is assigned −2 and each hydrogen is assigned +1."
ch12-oxidation-numbers-water,12,Oxidation Numbers in Water,chapter_12/ch12_oxidation_numbers_water.png,E,Hydrogen oxidation number = +1,+1 | hydrogen oxidation number +1,"In ordinary H2O, oxygen is assigned −2 and each hydrogen is assigned +1."
ch12-half-reaction,12,Half-Reaction Representation,chapter_12/ch12_half_reaction_representation.png,A,Upper half-reaction,upper half-reaction | first half-reaction,STRUCTURE-ONLY asset. Do not use this image to teach a specific balanced half-reaction; use it for identifying the parts of half-reaction notation.
ch12-half-reaction,12,Half-Reaction Representation,chapter_12/ch12_half_reaction_representation.png,B,Lower half-reaction,lower half-reaction | second half-reaction,STRUCTURE-ONLY asset. Do not use this image to teach a specific balanced half-reaction; use it for identifying the parts of half-reaction notation.
ch12-half-reaction,12,Half-Reaction Representation,chapter_12/ch12_half_reaction_representation.png,C,Electrons (e⁻),electrons | electron | e- | e⁻,STRUCTURE-ONLY asset. Do not use this image to teach a specific balanced half-reaction; use it for identifying the parts of half-reaction notation.
ch12-half-reaction,12,Half-Reaction Representation,chapter_12/ch12_half_reaction_representation.png,D,Reactant species,reactant | reactant species | starting species,STRUCTURE-ONLY asset. Do not use this image to teach a specific balanced half-reaction; use it for identifying the parts of half-reaction notation.
ch12-half-reaction,12,Half-Reaction Representation,chapter_12/ch12_half_reaction_representation.png,E,Product species,product | product species,STRUCTURE-ONLY asset. Do not use this image to teach a specific balanced half-reaction; use it for identifying the parts of half-reaction notation.
ch12-half-reaction,12,Half-Reaction Representation,chapter_12/ch12_half_reaction_representation.png,F,Reaction arrow,reaction arrow | arrow | direction of reaction,STRUCTURE-ONLY asset. Do not use this image to teach a specific balanced half-reaction; use it for identifying the parts of half-reaction notation.
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,A,Zinc electrode,zinc electrode | Zn electrode | zinc,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,B,Copper electrode,copper electrode | Cu electrode | copper,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,C,Salt bridge,salt bridge,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,D,External circuit / wire,external circuit | wire | external wire,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,E,Electron flow from Zn to Cu,electron flow | electron flow from zinc to copper | electrons | e- flow | e⁻ flow,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,F,Anode — oxidation occurs here,anode | oxidation site | site of oxidation,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,G,Cathode — reduction occurs here,cathode | reduction site | site of reduction,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,H,Zinc oxidation half-cell,zinc half-cell | oxidation half-cell | anode half-cell,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-voltaic-cell,13,Voltaic (Galvanic) Cell — Zn/Cu,chapter_13/ch13_voltaic_cell_zinc_copper.png,I,Copper reduction half-cell,copper half-cell | reduction half-cell | cathode half-cell,"For a spontaneous Zn/Cu cell, electrons travel through the external circuit from Zn (anode) to Cu (cathode)."
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,A,DC power supply,DC power supply | power supply | external power source,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,B,Negative terminal,negative terminal | negative connection | minus terminal,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,C,Positive terminal,positive terminal | positive connection | plus terminal,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,D,Cathode (negative electrode),cathode | negative electrode | reduction electrode,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,E,Anode (positive electrode),anode | positive electrode | oxidation electrode,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,F,Electrolyte solution,electrolyte | electrolyte solution | ionic solution,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,G,Positive connecting lead / wire,positive wire | positive lead | connecting wire | wire,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-electrolytic-cell,13,Electrolytic Cell,chapter_13/ch13_electrolytic_cell.png,H,Gas bubbles / gaseous product,gas bubbles | gas | gaseous product,In an electrolytic cell the external power source drives a non-spontaneous redox process. The exact gas depends on the electrolyte.
ch13-salt-bridge,13,Salt Bridge and Ion Movement,chapter_13/ch13_salt_bridge_ion_movement.png,A,Salt bridge,salt bridge,"Ion movement through the salt bridge maintains electrical neutrality: anions toward the anode side, cations toward the cathode side."
ch13-salt-bridge,13,Salt Bridge and Ion Movement,chapter_13/ch13_salt_bridge_ion_movement.png,B,Anode half-cell,anode half-cell | oxidation half-cell | left half-cell,"Ion movement through the salt bridge maintains electrical neutrality: anions toward the anode side, cations toward the cathode side."
ch13-salt-bridge,13,Salt Bridge and Ion Movement,chapter_13/ch13_salt_bridge_ion_movement.png,C,Cathode half-cell,cathode half-cell | reduction half-cell | right half-cell,"Ion movement through the salt bridge maintains electrical neutrality: anions toward the anode side, cations toward the cathode side."
ch13-salt-bridge,13,Salt Bridge and Ion Movement,chapter_13/ch13_salt_bridge_ion_movement.png,D,Anions migrate toward the anode,anion migration to anode | anions to anode | negative ions to anode,"Ion movement through the salt bridge maintains electrical neutrality: anions toward the anode side, cations toward the cathode side."
ch13-salt-bridge,13,Salt Bridge and Ion Movement,chapter_13/ch13_salt_bridge_ion_movement.png,E,Cations migrate toward the cathode,cation migration to cathode | cations to cathode | positive ions to cathode,"Ion movement through the salt bridge maintains electrical neutrality: anions toward the anode side, cations toward the cathode side."
ch13-salt-bridge,13,Salt Bridge and Ion Movement,chapter_13/ch13_salt_bridge_ion_movement.png,F,Anode electrolyte solution,anode solution | anode electrolyte | left electrolyte,"Ion movement through the salt bridge maintains electrical neutrality: anions toward the anode side, cations toward the cathode side."
ch13-salt-bridge,13,Salt Bridge and Ion Movement,chapter_13/ch13_salt_bridge_ion_movement.png,G,Cathode electrolyte solution,cathode solution | cathode electrolyte | right electrolyte,"Ion movement through the salt bridge maintains electrical neutrality: anions toward the anode side, cations toward the cathode side."
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,A,DC power supply,DC power supply | power supply | external power source,The object to be plated is the cathode. Metal ions are reduced onto its surface.
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,B,Negative terminal,negative terminal | minus terminal,The object to be plated is the cathode. Metal ions are reduced onto its surface.
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,C,Positive terminal,positive terminal | plus terminal,The object to be plated is the cathode. Metal ions are reduced onto its surface.
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,D,Wire to the cathode,cathode wire | negative lead | wire to cathode | connecting wire,The object to be plated is the cathode. Metal ions are reduced onto its surface.
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,E,Object being plated — cathode,object being plated | cathode | spoon | negative electrode,The object to be plated is the cathode. Metal ions are reduced onto its surface.
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,F,Deposited metal coating,metal coating | deposited metal | plated metal | coating,The object to be plated is the cathode. Metal ions are reduced onto its surface.
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,G,Metal source — anode,metal source | anode | source metal | positive electrode,The object to be plated is the cathode. Metal ions are reduced onto its surface.
ch13-electroplating,13,Electroplating Setup,chapter_13/ch13_electroplating_setup.png,H,Electrolyte containing metal ions,electrolyte | electrolyte solution | metal ion solution | solution,The object to be plated is the cathode. Metal ions are reduced onto its surface.
