phase,original_section_index,original_title,original_location,new_routes,disposition,reason
2,11,9. The Growth Equation,original-course/main.js: PHASE_CONTENT[phase-2].sections[11],effort-recovery,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Recovery and growth language is qualified; the 40% rule and injury-versus-effort self-diagnosis are withheld."
2,12,10. Person by Situation: Social Context and the Myth of Universal Grit,original-course/main.js: PHASE_CONTENT[phase-2].sections[12],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,13,11. Tactical Drills for Integrated Discipline,original-course/main.js: PHASE_CONTENT[phase-2].sections[13],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Recovery and growth language is qualified; the 40% rule and injury-versus-effort self-diagnosis are withheld."
2,14,12. Common Misunderstandings,original-course/main.js: PHASE_CONTENT[phase-2].sections[14],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,15,13. End-of-Chapter Summary,original-course/main.js: PHASE_CONTENT[phase-2].sections[15],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,16,14. Glossary of Essential Terms,original-course/main.js: PHASE_CONTENT[phase-2].sections[16],resources; reading glossary,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,0,Chapter roadmap,original-course/main.js: PHASE_CONTENT[phase-3].sections[0],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,1,Inside This Chapter,original-course/main.js: PHASE_CONTENT[phase-3].sections[1],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,2,Learning objectives,original-course/main.js: PHASE_CONTENT[phase-3].sections[2],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,3,Study lens,original-course/main.js: PHASE_CONTENT[phase-3].sections[3],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,4,1. Why focus fails under pressure,original-course/main.js: PHASE_CONTENT[phase-3].sections[4],attention-processes,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,5,2. Concentration as a trainable control process,original-course/main.js: PHASE_CONTENT[phase-3].sections[5],attention-processes,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,6,3. Nideffer's attentional quadrants,original-course/main.js: PHASE_CONTENT[phase-3].sections[6],attention-quadrants; attention-shifts,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,7,"4. Self 1, Self 2, and the problem of interference",original-course/main.js: PHASE_CONTENT[phase-3].sections[7],observation-self-talk,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Gallwey framework attributed; not a biological division or a measured equation."
3,8,5. Pre-competition plans that protect attention,original-course/main.js: PHASE_CONTENT[phase-3].sections[8],attention-shifts; prepare-attention,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,9,6. Regaining concentration during performance,original-course/main.js: PHASE_CONTENT[phase-3].sections[9],cues-anchors; reset-return,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,10,7. How focus becomes reliable,original-course/main.js: PHASE_CONTENT[phase-3].sections[10],cues-anchors; flexible-focus,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,11,8. End-of-chapter summary,original-course/main.js: PHASE_CONTENT[phase-3].sections[11],flexible-focus,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,12,9. Glossary of essential terms,original-course/main.js: PHASE_CONTENT[phase-3].sections[12],resources; reading glossary,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,0,Inside This Chapter,original-course/main.js: PHASE_CONTENT[phase-4].sections[0],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,1,Learning objectives,original-course/main.js: PHASE_CONTENT[phase-4].sections[1],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,2,Chapter roadmap,original-course/main.js: PHASE_CONTENT[phase-4].sections[2],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,3,1. Foundations of Confidence,original-course/main.js: PHASE_CONTENT[phase-4].sections[3],task-confidence,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,4,2. Where Confidence Comes From,original-course/main.js: PHASE_CONTENT[phase-4].sections[4],preparation-evidence,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,5,"3. The Confidence Account: Deposits, Withdrawals, and the Mental Filter",original-course/main.js: PHASE_CONTENT[phase-4].sections[5],useful-evidence,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,6,4. Protecting Confidence Under Pressure,original-course/main.js: PHASE_CONTENT[phase-4].sections[6],feedback-setbacks,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,7,5. The Routine Bridge: C-B-A,original-course/main.js: PHASE_CONTENT[phase-4].sections[7],cba-routine,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,8,6. Envisioning: The Mental Cinema,original-course/main.js: PHASE_CONTENT[phase-4].sections[8],rehearsal-formats,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,9,7. The Mental Director's Toolkit,original-course/main.js: PHASE_CONTENT[phase-4].sections[9],rehearsal-formats; disruption-rehearsal,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,10,8. Integrating the System,original-course/main.js: PHASE_CONTENT[phase-4].sections[10],disruption-rehearsal; combine-toolkit,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,11,Common misunderstandings,original-course/main.js: PHASE_CONTENT[phase-4].sections[11],feedback-setbacks,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,12,End-of-chapter summary,original-course/main.js: PHASE_CONTENT[phase-4].sections[12],combine-toolkit,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,13,Glossary of Essential Terms,original-course/main.js: PHASE_CONTENT[phase-4].sections[13],resources; reading glossary,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
