original_id,catalogue_title_not_verified,youtube_id,candidate_phase,candidate_route,learner_disposition,actual_publisher_title,duration_segment,captions_transcript,school_playback,accuracy_suitability,local_alternative,reason,lesson_purpose,application_question
tape-15,A Beginner's Guide to Using Mental Rehearsal,EAGKsvhAPME,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-16,Four Visualization Techniques for Game-Day Confidence,oa6o2LkcR5k,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-17,"Nick Saban on ""The Process"" and Avoiding Complacency",iWIeQlEUa5Q,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-18,Outcomes are a Distraction: How The Process Changed Football,LIopioHzciA,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-19,The Mamba Mentality: Being the Best Version of Yourself,GE0UAdxPTc0,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-20,David Goggins: The Accountability Mirror Challenge,G7Jyh6IsjMg,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-21,Confronting the Weak Self through Radical Ownership,ma4nh7aFzhk,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-22,Jocko Willink: Fail Until You Win,jHnX-nMl59U,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-23,Inky Johnson: Never Give In - The Mission and the Purpose,lOOd8D4DhwI,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-24,Why Some Succeed: The Navy SEAL Selection Process,zP9jpxitfb4,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-25,Developing Resilient Leaders through the Warrior Ethos,e4JWnQ8gLr4,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-26,Ray Lewis: Lessons in Effort and the Law of Victory,nda4QXuX1XM,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-27,Georges St-Pierre: Champion Spirit and Mental Toughness,epM7ZnaWWbk,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-28,"Building Team Culture: From ""What's in it for Me"" to ""Give to We""",cPi9fr12ikg,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-29,High Performance: Finding the Balance between Truth and Trust,j-pxzDgUid0,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
