phase,id,type,status,learning_target,source_location,correct_concept,answer_position,feedback,role,content_version
3,phase3-q11,checkpoint,revised,"The aim is a task-based return, not perfect control of every thought. Real problems may need clarification or support.",original-course/main.js: QUIZZES[2].questions/phase3-q11,Notice the drift and return to a relevant cue when appropriate.,C,"The aim is a task-based return, not perfect control of every thought. Real problems may need clarification or support.",required formative practice,phase3-2026-09-17-r1
3,phase3-q12,checkpoint,revised,The case identifies a rushed setup and a later attention shift that did not fit the task. The plan addresses both without claiming those facts explain every possible miss.,original-course/main.js: QUIZZES[2].questions/phase3-q12,"Use the familiar setup and target cue, then shift to the signal for the next task.",D,The case identifies a rushed setup and a later attention shift that did not fit the task. The plan addresses both without claiming those facts explain every possible miss.,required formative practice,phase3-2026-09-17-r1
3,p3-attention-processes-check-1,lesson check,newly authored,"I can explain selection, sustaining attention and shifting using a specific task.","original PHASE_CONTENT phase-3 sections 4,5",Sustaining attention on a useful cue.,B,The performer remains with the rhythm long enough to complete the phrase. The description does not measure overall capacity.,required formative practice,phase3-2026-09-17-r1
3,p3-attention-processes-check-2,lesson check,newly authored,"I can explain selection, sustaining attention and shifting using a specific task.","original PHASE_CONTENT phase-3 sections 4,5",What the player was attending to and whether the signal was clear.,C,"Several explanations are possible. The task, signal and performer’s account help distinguish them.",required formative practice,phase3-2026-09-17-r1
3,p3-attention-processes-response,lesson application,newly authored / source concepts retained,"I can explain selection, sustaining attention and shifting using a specific task.","original PHASE_CONTENT phase-3 sections 4,5",State the exact action or decision.; Identify one relevant cue and one less useful distraction.; Explain why the distinction fits this moment.,not applicable,State the exact action or decision.; Identify one relevant cue and one less useful distraction.; Explain why the distinction fits this moment.,required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-attention-quadrants-check-1,lesson check,newly authored,I can distinguish the four attention quadrants in a clearly stated moment.,original PHASE_CONTENT phase-3 sections 6,Broad-internal.,A,The information consists of several internal options. A pause provides a setting where considering them may fit.,required formative practice,phase3-2026-09-17-r1
3,p3-attention-quadrants-check-2,lesson check,newly authored,I can distinguish the four attention quadrants in a clearly stated moment.,original PHASE_CONTENT phase-3 sections 6,Broad-external attention to the relevant play.,B,Several external cues are needed for the pass. The other choices leave important task information out.,required formative practice,phase3-2026-09-17-r1
3,p3-attention-quadrants-response,lesson application,newly authored / source concepts retained,I can distinguish the four attention quadrants in a clearly stated moment.,original PHASE_CONTENT phase-3 sections 6,Name the task and moment.; State width and direction separately.; Use the actual information in the case to justify both.,not applicable,Name the task and moment.; State width and direction separately.; Use the actual information in the case to justify both.,required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-attention-shifts-check-1,lesson check,newly authored,I can explain a sequence of attention shifts and the trigger for each change.,"original PHASE_CONTENT phase-3 sections 6,8",Naming the task change that triggers a new focus.,C,A trigger connects the shift to an actual demand. It helps the performer know when the previous cue no longer fits.,required formative practice,phase3-2026-09-17-r1
3,p3-attention-shifts-check-2,lesson check,newly authored,I can explain a sequence of attention shifts and the trigger for each change.,"original PHASE_CONTENT phase-3 sections 6,8",Identify the partner cues and revise the attention sequence.,A,The duet introduces information about another performer. The plan needs to account for those cues rather than preserve an outdated sequence.,required formative practice,phase3-2026-09-17-r1
3,p3-attention-shifts-response,lesson application,newly authored / source concepts retained,I can explain a sequence of attention shifts and the trigger for each change.,"original PHASE_CONTENT phase-3 sections 6,8",Give a clear setting for each moment.; Name the information and quadrant.; Explain what signals each shift and where a step might be unnecessary.,not applicable,Give a clear setting for each moment.; Name the information and quadrant.; Explain what signals each shift and where a step might be unnecessary.,required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-observation-self-talk-check-1,lesson check,newly authored,I can use an attributed coaching framework without treating it as a measured equation.,original PHASE_CONTENT phase-3 sections 7,Labels in Gallwey’s coaching framework.,B,They are labels used to discuss commentary and learned execution. The lesson does not identify separate anatomical systems.,required formative practice,phase3-2026-09-17-r1
3,p3-observation-self-talk-check-2,lesson check,newly authored,I can use an attributed coaching framework without treating it as a measured equation.,original PHASE_CONTENT phase-3 sections 7,My entry was late; I will practise the agreed count and check it.,C,The response acknowledges a specific error and names a next action. It avoids both denial and a global judgment.,required formative practice,phase3-2026-09-17-r1
3,p3-observation-self-talk-response,lesson application,newly authored / source concepts retained,I can use an attributed coaching framework without treating it as a measured equation.,original PHASE_CONTENT phase-3 sections 7,Identify the global judgment.; Keep the observed error without exaggerating it.; Choose a relevant action and explain the limit of the conclusion.,not applicable,Identify the global judgment.; Keep the observed error without exaggerating it.; Choose a relevant action and explain the limit of the conclusion.,required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-cues-anchors-check-1,lesson check,newly authored,I can select a cue and anchor that fit a particular task.,"original PHASE_CONTENT phase-3 sections 9,10",Instructional: directing timing.,A,The cue directs a specific timing feature. It does not measure an internal state.,required formative practice,phase3-2026-09-17-r1
3,p3-cues-anchors-check-2,lesson check,newly authored,I can select a cue and anchor that fit a particular task.,"original PHASE_CONTENT phase-3 sections 9,10",Choose another brief anchor for the same main idea.,B,The anchor serves a function. Another concise reminder can serve that function without turning the routine into a long instruction list.,required formative practice,phase3-2026-09-17-r1
3,p3-cues-anchors-response,lesson application,newly authored / source concepts retained,I can select a cue and anchor that fit a particular task.,"original PHASE_CONTENT phase-3 sections 9,10","Give one instructional and one motivational example.; Select the example that fits the stated need.; Name the anchor, trigger and next action.",not applicable,"Give one instructional and one motivational example.; Select the example that fits the stated need.; Name the anchor, trigger and next action.",required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-prepare-attention-check-1,lesson check,newly authored,I can explain the purpose of each step in a before-performance routine.,original PHASE_CONTENT phase-3 sections 8,Organize preparation and attention for the next task.,C,A routine gives the performer useful actions. The result can still vary and some uncertainty may remain.,required formative practice,phase3-2026-09-17-r1
3,p3-prepare-attention-check-2,lesson check,newly authored,I can explain the purpose of each step in a before-performance routine.,original PHASE_CONTENT phase-3 sections 8,Keep the essential task cue and adapt the sequence to the setting.,A,A usable routine fits the available moment. Preserve its purpose while adjusting unnecessary steps.,required formative practice,phase3-2026-09-17-r1
3,p3-prepare-attention-response,lesson application,newly authored / source concepts retained,I can explain the purpose of each step in a before-performance routine.,original PHASE_CONTENT phase-3 sections 8,State the setting and available pause.; Give a labelled sequence with a purpose for each step.; Explain how the final step begins the task.,not applicable,State the setting and available pause.; Give a labelled sequence with a purpose for each step.; Explain how the final step begins the task.,required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-reset-return-check-1,lesson check,newly authored,I can write an adaptable if–then plan that returns attention to useful information.,original PHASE_CONTENT phase-3 sections 9,"If I miss the entry, then I will find the next agreed cue and rejoin there.",A,"The plan names a specific event, an appropriate return cue and a next action. It can be practised and adapted.",required formative practice,phase3-2026-09-17-r1
3,p3-reset-return-check-2,lesson check,newly authored,I can write an adaptable if–then plan that returns attention to useful information.,original PHASE_CONTENT phase-3 sections 9,Ask for clarification before choosing the next action.,B,The problem is missing information. Clarification directly addresses it; a regulation cue does not replace instructions.,required formative practice,phase3-2026-09-17-r1
3,p3-reset-return-response,lesson application,newly authored / source concepts retained,I can write an adaptable if–then plan that returns attention to useful information.,original PHASE_CONTENT phase-3 sections 9,"Name the disruption and observable signal.; Choose a safe, proportionate response.; State the next cue and an adjustment if the first response does not help.",not applicable,"Name the disruption and observable signal.; Choose a safe, proportionate response.; State the next cue and an adjustment if the first response does not help.",required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-flexible-focus-check-1,lesson check,newly authored,I can propose a suitable variation and explain what evidence would guide an adjustment.,"original PHASE_CONTENT phase-3 sections 10,11",The performer looked at the agreed entry cue before beginning.,B,The statement describes an action that can be checked. It does not claim a permanent trait or an unmeasured internal state.,required formative practice,phase3-2026-09-17-r1
3,p3-flexible-focus-check-2,lesson check,newly authored,I can propose a suitable variation and explain what evidence would guide an adjustment.,"original PHASE_CONTENT phase-3 sections 10,11","Check the instruction, the signal and what the performer attended to before revising one part.",C,The review considers the task and competing explanations. It supports a targeted adjustment rather than an unsupported global conclusion.,required formative practice,phase3-2026-09-17-r1
3,p3-flexible-focus-response,lesson application,newly authored / source concepts retained,I can propose a suitable variation and explain what evidence would guide an adjustment.,"original PHASE_CONTENT phase-3 sections 10,11",Name one changed condition and what stays the same.; State the intended focus and an observable action.; Explain a proportionate adjustment and one uncertainty.,not applicable,Name one changed condition and what stays the same.; State the intended focus and an observable action.; Explain a proportionate adjustment and one uncertainty.,required written application; reusable in Build,phase3-2026-09-17-r1
3,p3-written-review-1,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",attention-quadrants corrected teaching; see source map,Width concerns how much information is selected; direction concerns where it comes from. A player scanning several teammates is broad-external. A brief check of one tension signal during a pause is narrow-internal. The task determines whether either fits.,not applicable,Width concerns how much information is selected; direction concerns where it comes from. A player scanning several teammates is broad-external. A brief check of one tension signal during a pause is narrow-internal. The task determines whether either fits.,required first answer/comparison/revision,phase3-2026-09-17-r1
3,p3-written-review-2,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",cues-anchors corrected teaching; see source map,Identify the purpose of the cue and choose an available alternative serving that purpose. A printed keyword may replace a slide title. Explain the next action and check whether the new anchor makes the explanation usable.,not applicable,Identify the purpose of the cue and choose an available alternative serving that purpose. A printed keyword may replace a slide title. Explain the next action and check whether the new anchor makes the explanation usable.,required first answer/comparison/revision,phase3-2026-09-17-r1
3,p3-written-review-3,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",observation-self-talk corrected teaching; see source map,"Gallwey’s equation is an attributed coaching framework, not a measurement. Self 1 and Self 2 are labels for discussing commentary and learned execution. The framework does not replace skill learning, task knowledge or useful feedback.",not applicable,"Gallwey’s equation is an attributed coaching framework, not a measurement. Self 1 and Self 2 are labels for discussing commentary and learned execution. The framework does not replace skill learning, task knowledge or useful feedback.",required first answer/comparison/revision,phase3-2026-09-17-r1
3,p3-written-review-4,written review,newly authored,"Explain, apply, correct a misconception or revise prior work",flexible-focus corrected teaching; see source map,"A useful revision replaces vague language with a specific task, cue, trigger or observation. For example, “focus more” can become a named scan before a pass. Explain the change and retain a limitation where the evidence does not establish a cause.",not applicable,"A useful revision replaces vague language with a specific task, cue, trigger or observation. For example, “focus more” can become a named scan before a pass. Explain the change and retain a limitation where the evidence does not establish a cause.",required first answer/comparison/revision,phase3-2026-09-17-r1
3,p3-decision-case-1,guided and untimed equivalent,newly authored,The next pass,corrected phase teaching and specification lab cases,"Scan the ball, defenders and available teammates.",A,The case supplies both the missed information and Jordan’s account. A broad-external scan fits the passing decision. It would not be the same focus as a free throw.,choose guided or untimed set; reasons required,phase3-2026-09-17-r1
3,p3-decision-case-2,guided and untimed equivalent,newly authored,After a late entry,corrected phase teaching and specification lab cases,"Describe the skipped count, return to the next entry cue and review the count later.",B,Keep the useful observation and correction. A global judgment does not guide the next phrase. The response joins immediate refocusing with later practice.,choose guided or untimed set; reasons required,phase3-2026-09-17-r1
3,p3-decision-case-3,guided and untimed equivalent,newly authored,The display stops,corrected phase teaching and specification lab cases,Use the printed graph as an anchor and adapt the opening cue.,C,The task still needs an explanation of the graph. An available representation can support it. Changing the anchor preserves the purpose without requiring the original display.,choose guided or untimed set; reasons required,phase3-2026-09-17-r1
3,p3-case,Build evidence,newly authored transfer/case evidence,Task and changing demand,"supplied generation specification, Build plan","Describe the performer, task and one moment when the information needed changes.",not applicable,Worked example: Jordan needs a broad scan during open play and a precise target at the free-throw line. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-distractions,Build evidence,combined / reworded,Distractions and evidence,p3_internal_dist; p3_time_trap; p3_external_dist,"Identify an internal and an external distraction. Explain the evidence, rather than assuming a cause.",not applicable,Worked example: Replaying the miss is internal. Watching a spectator is external. Jordan’s account connects these to the missed signal. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-attention,Build evidence,combined / reworded,Useful focus now,p3_alertness_width; p3_spotlight,Choose the appropriate focus at one stated moment and justify it.,not applicable,"Worked example: Before the pass, broad-external attention includes available teammates and defenders. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-shifts,Build evidence,combined / reworded,Three moments and their triggers,p3_shift_sequence,"Describe at least three moments, their information needs and what triggers each shift.",not applicable,Worked example: Open play: scan teammates. Whistle: listen to the official. Free throw: find the chosen rim target. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-cues,Build evidence,combined / reworded,Cue examples and selection,p3_instructional_cue; p3_motivational_cue,Give one instructional and one motivational cue. Select one for the case and explain why.,not applicable,Worked example: “See the target” directs attention; “commit” supports effort. Jordan first needs the target cue. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-anchor,Build evidence,combined / reworded,Anchor and use,p3_anchor_type; p3_anchor_usage,"Name a return point, when it is used and the next action.",not applicable,"Worked example: At the line, the rim target is the anchor. Jordan finds it before following the familiar setup. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-routine,Build evidence,combined / reworded,Before-performance sequence,p3_routine_1; p3_routine_2; p3_routine_3,Write a labelled sequence. Explain what each part directs attention toward.,not applicable,Worked example: Prepare: check the starting position. Direct: find the target and use “smooth.” Begin: take the practised shot. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-if-then,Build evidence,combined / reworded,Disruption and response,p3_what_if; p3_response,"Name the signal, response and next task cue. Include clarification when instructions are missing.",not applicable,"Worked example: If the drill order changes and the role is unclear, ask where to begin, then identify the next cue. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-rehearsal,Build evidence,combined / reworded,Walkthrough with a changed demand,p3_simulation_plan,"Describe one appropriate variation, what stays the same and what the performer would observe.",not applicable,"Worked example: In a hypothetical practice, shorten the preparation pause. Keep the task the same and check whether the essential target cue is still used. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-observation,Build evidence,newly authored transfer/case evidence,Observation and adjustment,"supplied generation specification, Build plan",Describe a factual observation and one adjustment it could support. Label invented observations as hypothetical.,not applicable,"Worked example: Hypothetically, Jordan looks away before the signal. Review the trigger for returning to the target rather than label Jordan as unfocused. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-transfer,Build evidence,newly authored transfer/case evidence,Adapt to an unfamiliar task,"supplied generation specification, Build plan","New case: a musician is moved from a solo to a duet. Explain a changed focus, a useful cue and a disruption response.",not applicable,Worked example: The duet adds a partner’s timing cue. Plan a shared entry and return point rather than using the solo routine unchanged. Evaluate with the four-dimension rubric; other supported responses can be valid.,required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-explain,Build evidence,combined / reworded,Why attention must change,p3_narrative,Justify one transition in your plan and explain one limit of what your evidence can show.,not applicable,"Worked example: The passing decision needs several external cues, while a free throw uses a precise target. One missed cue does not identify every possible cause. Evaluate with the four-dimension rubric; other supported responses can be valid.",required written evidence; teacher assessment,phase3-2026-09-17-r1
3,p3-opening,opening / transfer,newly authored,Describe Jordan’s task before a free throw and during open play. What useful information changes between those moments?,supplied phase specification and corrected local teaching,"Identify the case evidence, a fitting choice, its reason and a relevant limitation or adjustment.",not applicable,Compare with the local worked cases and rubric; text is not automatically graded.,opening required; choose guided or untimed transfer,phase3-2026-09-17-r1
3,guided-transfer,opening / transfer,newly authored,"Choose a new sport, academic or artistic situation. Identify a changed demand, the attention it needs and a cue that fits. Explain one observation that would make you adjust the plan.",supplied phase specification and corrected local teaching,"Identify the case evidence, a fitting choice, its reason and a relevant limitation or adjustment.",not applicable,Compare with the local worked cases and rubric; text is not automatically graded.,opening required; choose guided or untimed transfer,phase3-2026-09-17-r1
3,untimed-transfer,opening / transfer,newly authored,"Choose a new sport, academic or artistic situation. Identify a changed demand, the attention it needs and a cue that fits. Explain one observation that would make you adjust the plan.",supplied phase specification and corrected local teaching,"Identify the case evidence, a fitting choice, its reason and a relevant limitation or adjustment.",not applicable,Compare with the local worked cases and rubric; text is not automatically graded.,opening required; choose guided or untimed transfer,phase3-2026-09-17-r1
